,x,y
1,0.442,0.919
2,0.332,0.914
3,0.342,0.079
4,0.078,0.965
5,0.357,0.43
6,0.174,0.099
7,0.159,0.473
8,0.654,0.237
9,0.073,0.368
10,0.707,0.343
11,0.773,0.666
12,0.602,0.939
13,0.731,0.155
14,0.191,0.177
15,0.761,0.4
16,0.303,0.838
17,0.132,0.159
18,0.369,0.78
19,0.263,0.734
20,0.461,0.474
21,0.669,0.92
22,0.892,0.414
23,0.487,0.554
24,0.056,0.428
25,0.222,0.572
26,0.855,0.338
27,0.532,0.602
28,0.561,0.467
29,0.128,0.557
30,0.298,0.259
31,0.649,0.154
32,0.219,0.418
33,0.566,0.262
34,0.497,0.75
35,0.243,0.85
36,0.527,0.929
37,0.917,0.03
38,0.193,0.721
39,0.601,0.586
40,0.934,0.713
41,0.87,0.494
42,0.113,0.887
43,0.117,0.056
44,0.866,0.666
45,0.639,0.536
46,0.034,0.07
47,0.442,0.816
48,0.181,0.3
49,0.954,0.41
50,0.395,0.355
51,0.441,0.038
52,0.904,0.208
53,0.566,0.713
54,0.889,0.935
55,0.469,0.408
56,0.224,0.964
57,0.353,0.284
58,0.762,0.773
59,0.59,0.349
60,0.845,0.735
61,0.263,0.656
62,0.943,0.341
63,0.401,0.514
64,0.505,0.192
65,0.037,0.722
66,0.578,0.039
67,0.822,0.62
68,0.15,0.62
69,0.668,0.764
70,0.904,0.818
71,0.474,0.673
72,0.96,0.646
73,0.228,0.493
74,0.744,0.285
75,0.496,0.855
76,0.822,0.198
77,0.351,0.623
78,0.531,0.363
79,0.783,0.463
80,0.786,0.919
81,0.573,0.139
82,0.288,0.599
83,0.398,0.863
84,0.19,0.911
85,0.766,0.077
86,0.931,0.555
87,0.68,0.471
88,0.955,0.161
89,0.743,0.877
90,0.301,0.184
91,0.166,0.817
92,0.82,0.799
93,0.321,0.505
94,0.434,0.727
95,0.554,0.798
96,0.572,0.65
97,0.054,0.133
98,0.054,0.219
99,0.265,0.113
100,0.67,0.653
101,0.871,0.143
102,0.941,0.088
103,0.442,0.108
104,0.119,0.759
105,0.223,0.352
106,0.715,0.523
107,0.05,0.306
