,x,y
1,0.831,0.329
2,0.017,0.683
3,0.264,0.343
4,0.587,0.707
5,0.451,0.02
6,0.888,0.11
7,0.988,0.42
8,0.701,0.373
9,0.1,0.92
10,0.928,0.893
11,0.624,0.08
12,0.496,0.304
13,0.659,0.136
14,0.025,0.266
15,0.327,0.347
16,0.304,0.834
17,0.239,0.476
18,0.284,0.107
19,0.073,0.542
20,0.834,0.343
21,0.078,0.575
22,0.733,0.256
23,0.396,0.39
24,0.954,0.066
25,0.895,0.991
26,0.385,0.398
27,0.521,0.327
28,0.795,0.582
29,0.939,0.091
30,0.366,0.251
31,0.274,0.059
32,0.285,0.46
33,0.719,0.421
34,0.659,0.671
35,0.55,0.295
36,0.202,0.584
37,0.642,0.853
38,0.858,0.29
39,0.581,0.426
40,0.639,0.205
41,0.782,0.532
42,0.443,0.651
43,0.497,0.053
44,0.233,0.826
45,0.834,0.405
46,0.156,0.429
47,0.688,0.393
48,0.007,0.148
49,0.496,0.08
50,0.718,0.01
51,0.455,0.181
52,0.365,0.139
53,0.101,0.191
54,0.271,0.246
55,0.258,0.796
56,0.84,0.887
57,0.396,0.712
58,0.99,0.572
59,0.825,0.756
60,0.488,0.624
61,0.786,0.92
62,0.577,0.519
63,0.21,0.374
64,0.806,0.219
65,0.317,0.882
66,0.947,0.693
67,0.959,0.395
68,0.593,0.199
69,0.079,0.876
70,0.473,0.75
71,0.571,0.105
72,0.539,0.174
73,0.609,0.273
74,0.571,0.782
75,0.308,0.819
76,0.639,0.941
77,0.085,0.951
78,0.239,0.111
79,0.347,0.484
80,0.399,0.142
81,0.996,0.37
82,0.043,0.824
83,0.456,0.734
84,0.416,0.964
85,0.412,0.452
86,0.305,0.298
87,0.571,0.505
88,0.792,0.168
89,0.121,0.6
90,0.48,0.688
91,0.774,0.862
92,0.171,0.91
93,0.764,0.143
94,0.297,0.284
95,0.364,0.33
96,0.367,0.549
97,0.524,0.726
98,0.139,0.341
99,0.307,0.016
100,0.839,0.785
101,0.755,0.902
102,0.594,0.527
103,0.049,0.258
104,0.672,0.803
105,0.412,0.148
106,0.058,0.504
107,0.733,0.567
108,0.11,0.592
109,0.954,0.987
110,0.293,0.816
111,0.182,0.251
112,0.896,0.236
113,0.132,0.068
114,0.355,0.744
115,0.457,0.447
116,0.874,0.045
117,0.477,0.879
118,0.691,0.697
119,0.776,0.391
120,0.429,0.795
121,0.454,0.726
122,0.241,0.502
123,0.283,0.876
124,0.913,0.715
125,0.971,0.043
126,0.726,0.722
127,0.371,0.726
128,0.49,0.087
129,0.811,0.303
130,0.559,0.558
131,0.772,0.476
132,0.268,0.752
133,0.33,0.988
134,0.969,0.757
135,0.952,0.6
136,0.722,0.386
137,0.124,0.791
138,0.818,0.3
139,0.174,0.161
140,0.16,0.251
141,0.878,0.666
142,0.06,0.087
143,0.06,0.451
144,0.975,0.421
145,0.738,0.408
146,0.528,0.704
147,0.578,0.712
148,0.292,0.989
149,0.77,0.066
150,0.472,0.222
151,0.783,0.918
152,0.315,0.081
153,0.253,0.989
154,0.848,0.987
155,0.247,0.33
156,0.761,0.874
157,0.792,0.698
158,0.989,0.475
159,0.813,0.98
160,0.089,0.763
161,0.133,0.189
162,0.368,0.752
163,0.109,0.519
164,0.689,0.575
165,0.141,0.99
166,0.952,0.885
167,0.494,0.177
168,0.154,0.472
169,0.492,0.83
170,0.508,0.672
171,0.99,0.682
172,0.347,0.91
173,0.705,0.358
174,0.058,0.066
175,0.44,0.641
176,0.141,0.046
177,0.299,0.37
178,0.12,0.905
179,0.296,0.776
180,0.036,0.839
181,0.268,0.305
182,0.593,0.62
183,0.137,0.039
184,0.565,0.405
185,0.569,0.792
186,0.767,0.762
187,0.001,0.871
188,0.896,0.049
189,0.121,0.544
190,0.026,0.337
191,0.839,0.203
192,0.338,0.183
193,0.559,0.315
194,0.134,0.987
195,0.71,0.094
196,0.562,0.134
197,0.278,0.083
198,0.837,0.21
199,0.921,0.871
200,0.647,0.141
201,0.383,0.02
202,0.467,0.038
203,0.722,0.712
204,0.359,0.531
205,0.505,0.35
206,0.519,0.807
207,0.684,0.092
208,0.803,0.442
209,0.329,0.408
210,0.818,0.984
211,0.893,0.425
212,0.653,0.037
213,0.302,0.885
214,0.868,0.569
215,0.998,0.992
216,0.52,0.437
217,0.436,0.966
218,0.929,0.936
219,0.55,0.948
220,0.158,0.552
221,0.268,0.947
222,0.608,0.156
223,0.768,0.823
224,0.035,0.616
225,0.575,0.325
226,0.68,0.45
227,0.737,0.568
228,0.009,0.594
229,0.762,0.063
230,0.388,0.081
231,0.221,0.218
232,0.531,0.734
233,0.796,0.191
234,0.693,0.961
235,0.117,0.138
236,0.276,0.395
237,0.561,0.921
238,0.287,0.865
239,0.819,0.691
240,0.519,0.919
241,0.056,0.604
242,0.284,0.83
