,x,y
1,0.417,0.666
2,0.531,0.084
3,0.081,0.208
4,0.642,0.429
5,0.334,0.042
6,0.715,0
7,0.186,0.175
8,0.662,0.37
9,0.592,0.496
10,0.402,0.026
11,0.508,0.948
12,0.676,0.237
13,0.573,0.396
14,0.344,0.537
15,0.665,0.005
16,0.951,0.219
17,0.578,0.46
18,0.43,0.622
19,0.549,0.21
20,0.615,0.644
21,0.75,0.258
22,0.07,0.223
23,0.791,0.218
24,0.767,0.24
25,0.187,0.253
26,0.656,0.062
27,0.595,0.925
28,0.226,0.26
29,0.466,0.405
30,0.131,0.266
31,0.613,0.039
32,0.482,0.092
33,0.778,0.746
34,0.906,0.232
35,0.812,0.508
36,0.594,0.95
37,0.963,0.46
38,0.737,0.054
39,0.814,0.292
40,0.284,0.683
41,0.132,0.267
42,0.649,0.11
43,0.432,0.578
44,0.668,0.686
45,0.372,0.173
46,0.147,0.139
47,0.515,0.32
48,0.179,0.083
49,0.64,0.685
50,0.74,0.025
51,0.951,0.668
52,0.7,0.209
53,0.703,0.263
54,0.634,0.588
55,0.207,0.006
56,0.622,0.24
57,0.627,0.978
58,0.685,0.631
59,0.571,0.084
60,0.666,0.304
61,0.38,0.094
62,0.524,0.629
63,0.62,0.432
64,0.377,0.009
65,0.935,0.016
66,0.485,0.234
67,0.787,0.856
68,0.79,0.022
69,0.511,0.746
70,0.608,0.153
71,0.4,0.548
72,0.963,0.548
73,0.173,0.146
74,0.627,0.158
75,0.096,0.194
76,0.516,0.716
77,0.739,0.024
78,0.531,0.874
79,0.626,0.39
80,0.973,0.107
81,0.616,0.268
82,0.066,0.732
83,0.497,0.14
84,0.119,0.2
85,0.376,0.578
86,0.194,0.282
87,0.793,0.32
88,0.43,0.639
89,0.679,0.022
90,0.934,0.152
91,0.429,0.597
92,0.41,0.649
93,0.077,0.218
94,0.869,0.38
95,0.828,0.093
96,0.195,0.583
97,0.574,0.937
98,0.724,0.19
99,0.585,0.027
100,0.596,0.482
101,0.895,0.067
102,0.738,0.515
103,0.249,0.945
104,0.425,0.122
105,0.613,0.905
106,0.545,0.569
107,0.751,0.169
108,0.494,0.021
109,0.121,0.041
110,0.415,0.621
111,0.579,0.742
112,0.725,0.285
113,0.653,0.685
114,0.456,0.498
115,0.31,0.489
116,0.712,0.649
117,0.315,0.074
118,0.466,0.289
119,0.886,0.176
120,0.416,0.684
121,0.494,0.87
122,0.2,0.455
123,0.616,0.267
124,0.439,0.632
125,0.782,0.737
126,0.756,0.294
127,0.521,0.439
128,0.45,0.463
129,0.598,0.201
130,0.779,0.229
131,0.643,0.152
132,0.143,0.031
133,0.583,0.805
134,0.421,0.697
135,0.346,0.518
136,0.908,0.079
137,0.867,0.202
138,0.658,0.389
139,0.463,0.522
140,0.376,0.166
141,0.839,0.096
142,0.196,0.17
143,0.673,0.062
144,0.663,0.317
145,0.824,0.267
146,0.808,0.103
147,0.657,0.249
148,0.46,0.147
149,0.59,0.152
150,0.318,0.517
151,0.424,0.971
152,0.398,0.228
153,0.213,0.096
154,0.483,0.327
155,0.754,0.273
156,0.379,0.695
157,0.26,0.744
158,0.459,0.434
159,0.514,0.229
160,0.372,0.564
161,0.782,0.738
162,0.2,0.042
163,0.269,0.067
164,0.402,0.649
165,0.574,0.785
166,0.587,0.161
167,0.673,0.19
168,0.318,0.978
169,0.595,0.466
170,0.578,0.781
171,0.945,0.057
172,0.688,0.36
173,0.772,0.26
174,0.265,0.228
175,0.152,0.224
176,0.916,0.185
177,0.159,0.169
178,0.913,0.584
179,0.735,0.929
180,0.897,0.564
181,0.905,0.231
182,0.845,0.237
183,0.531,0.061
184,0.633,0.073
185,0.566,0.298
186,0.402,0.67
187,0.848,0.509
188,0.543,0.505
189,0.583,0.906
190,0.609,0.693
191,0.484,0.234
192,0.158,0.132
193,0.692,0.701
194,0.978,0.537
195,0.925,0.494
196,0.64,0.643
197,0.475,0.021
198,0.425,0.585
199,0.358,0.002
200,0.727,0.382
201,0.578,0.826
202,0.274,0.05
203,0.726,0.666
204,0.422,0.661
205,0.646,0.221
206,0.35,0.629
207,0.275,0.57
208,0.303,0.042
209,0.175,0.103
210,0.577,0.016
211,0.884,0.557
212,0.526,0.161
213,0.504,0.254
214,0.858,0.584
215,0.476,0.045
216,0.325,0.698
217,0.356,0.655
218,0.75,0.633
219,0.372,0.077
220,0.517,0.731
221,0.907,0.652
222,0.285,0.571
223,0.605,0.189
224,0.444,0.085
225,0.412,0.681
226,0.95,0.631
227,0.331,0.574
228,0.593,0.891
229,0.924,0.494
230,0.752,0.116
231,0.698,0.212
232,0.9,0.117
233,0.946,0.058
234,0.763,0.285
235,0.339,0.201
236,0.933,0.62
237,0.135,0.064
238,0.899,0.241
239,0.532,0.749
240,0.474,0.421
241,0.406,0.167
242,0.736,0.054
243,0.701,0.065
244,0.806,0.713
245,0.576,0.157
246,0.479,0.186
247,0.705,0.227
248,0.519,0.696
249,0.666,0.656
250,0.463,0.734
251,0.715,0.227
252,0.689,0.644
253,0.335,0.568
254,0.576,0.618
255,0.439,0.584
256,0.225,0.292
257,0.727,0.094
258,0.385,0.63
259,0.009,0.147
260,0.733,0.337
261,0.675,0.657
262,0.425,0.271
263,0.274,0.648
264,0.347,0.517
265,0.463,0.225
266,0.295,0.068
267,0.524,0.521
268,0.632,0.676
269,0.752,0.331
270,0.372,0.237
271,0.968,0.098
272,0.946,0.028
273,0.176,0.114
274,0.318,0.143
275,0.89,0.205
276,0.978,0.791
277,0.608,0.475
278,0.692,0.68
